INFO 2026-06-23 16:08:22,006 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-23 16:08:26,402 django.utils.autoreload autoreload.py:265 - C:\Users\HP\My Apps\homework-app\homework\settings.py changed, reloading.
INFO 2026-06-23 16:08:27,015 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-23 16:09:43,523 django.utils.autoreload autoreload.py:265 - C:\Users\HP\My Apps\homework-app\discussion\apps.py changed, reloading.
INFO 2026-06-23 16:09:44,186 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-23 16:10:41,371 django.utils.autoreload autoreload.py:265 - C:\Users\HP\My Apps\homework-app\discussion\admin.py changed, reloading.
INFO 2026-06-23 16:10:41,952 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-23 16:12:39,717 django.utils.autoreload autoreload.py:265 - C:\Users\HP\My Apps\homework-app\discussion\views.py changed, reloading.
INFO 2026-06-23 16:12:40,243 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-23 16:13:22,068 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
INFO 2026-06-24 15:22:35,000 django.utils.autoreload autoreload.py:681 - Watching for file changes with StatReloader
WARNING 2026-06-24 15:22:51,090 django.request log.py:249 - Not Found: /register/
WARNING 2026-06-24 15:22:51,091 django.server log.py:249 - "POST /register/ HTTP/1.1" 404 2362
WARNING 2026-06-24 15:24:03,206 django.request log.py:249 - Not Found: /register/
WARNING 2026-06-24 15:24:03,208 django.server log.py:249 - "POST /register/ HTTP/1.1" 404 2362
INFO 2026-06-24 15:25:30,423 discussion_app.views views.py:171 - Registration attempt for username: Alice
INFO 2026-06-24 15:25:30,531 discussion_app.serializers serializers.py:75 - Creating user: Alice
INFO 2026-06-24 15:25:32,861 discussion_app.signals signals.py:32 - User created: Alice (ID: 4)
INFO 2026-06-24 15:25:32,874 discussion_app.serializers serializers.py:82 - User Alice created with token
INFO 2026-06-24 15:25:32,874 discussion_app.views views.py:175 - User Alice registered successfully
INFO 2026-06-24 15:25:32,876 django.server log.py:249 - "POST /api/register/ HTTP/1.1" 201 63
INFO 2026-06-24 15:26:53,290 discussion_app.views views.py:195 - Login attempt for username: Alice
INFO 2026-06-24 15:26:53,292 discussion_app.serializers serializers.py:92 - Validating login for: Alice
INFO 2026-06-24 15:26:55,338 discussion_app.serializers serializers.py:102 - Login successful for: Alice
INFO 2026-06-24 15:26:55,340 discussion_app.views views.py:198 - User Alice logged in successfully
INFO 2026-06-24 15:26:55,345 django.server log.py:249 - "POST /api/login/ HTTP/1.1" 200 504
WARNING 2026-06-24 15:30:47,289 django.request log.py:249 - Not Found: /
WARNING 2026-06-24 15:30:47,291 django.server log.py:249 - "GET / HTTP/1.1" 404 2316
WARNING 2026-06-24 15:30:47,446 django.request log.py:249 - Not Found: /favicon.ico
WARNING 2026-06-24 15:30:47,448 django.server log.py:249 - "GET /favicon.ico HTTP/1.1" 404 2367
INFO 2026-06-24 15:30:50,265 django.server log.py:249 - "GET /admin/ HTTP/1.1" 200 13285
INFO 2026-06-24 15:30:50,563 django.server log.py:249 - "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-06-24 15:30:50,563 django.server log.py:249 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-06-24 15:30:50,566 django.server log.py:249 - "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-06-24 15:30:50,578 django.server log.py:249 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-06-24 15:30:50,578 django.server log.py:249 - "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-06-24 15:30:50,579 django.server log.py:249 - "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-06-24 15:30:50,587 django.server log.py:249 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-06-24 15:30:50,603 django.server log.py:249 - "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 689
INFO 2026-06-24 15:30:50,604 django.server log.py:249 - "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2026-06-24 15:30:50,606 django.server log.py:249 - "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
